Fan Usage Time (hours),Fan Power Rating (W),Fan Consumption (kWh),Bulb Usage Time (hours),Bulb Power Rating (W),Bulb Consumption (kWh),Bell Usage Time (hours),Bell Power Rating (W),Bell Consumption (kWh),Socket Usage Time (hours),Socket Power Rating (W),Socket Consumption (kWh),Bill Generated (INR)
51,75,3.825,314,10,3.14,46,5,0.23,233,50,11.65,125.31925
167,75,12.525,52,10,0.52,40,5,0.2,354,50,17.7,205.78425000000001
106,75,7.95,242,10,2.42,140,5,0.7,339,50,16.95,186.333
323,75,24.225,107,10,1.07,85,5,0.425,269,50,13.45,260.4805
125,75,9.375,255,10,2.55,135,5,0.675,347,50,17.35,199.16750000000002
187,75,14.025,248,10,2.48,35,5,0.175,93,50,4.65,141.84449999999998
150,75,11.25,137,10,1.37,59,5,0.295,349,50,17.45,201.92725000000002
251,75,18.825,74,10,0.74,110,5,0.55,171,50,8.55,190.62225
204,75,15.3,160,10,1.6,115,5,0.575,124,50,6.2,157.43875000000003
94,75,7.05,344,10,3.44,72,5,0.36,119,50,5.95,111.72000000000001
312,75,23.4,51,10,0.51,144,5,0.72,63,50,3.15,184.737
119,75,8.925,144,10,1.44,92,5,0.46,304,50,15.2,173.06625
181,75,13.575,84,10,0.84,126,5,0.63,332,50,16.6,210.43925000000004
199,75,14.925,113,10,1.13,41,5,0.205,149,50,7.45,157.67149999999998
73,75,5.475,337,10,3.37,131,5,0.655,136,50,6.8,108.39499999999998
175,75,13.125,62,10,0.62,75,5,0.375,214,50,10.7,165.053
115,75,8.625,258,10,2.58,119,5,0.595,297,50,14.85,177.2225
93,75,6.975,203,10,2.03,113,5,0.565,50,50,2.5,80.26549999999999
287,75,21.525,228,10,2.28,105,5,0.525,192,50,9.6,225.6345
238,75,17.85,231,10,2.31,87,5,0.435,67,50,3.35,159.23425
219,75,16.425,333,10,3.33,37,5,0.185,150,50,7.5,182.47600000000003
176,75,13.2,73,10,0.73,135,5,0.675,227,50,11.35,172.60075
347,75,26.025,308,10,3.08,120,5,0.6,223,50,11.15,271.68575
192,75,14.4,171,10,1.71,47,5,0.235,303,50,15.15,209.44174999999998
127,75,9.525,280,10,2.8,120,5,0.6,119,50,5.95,125.51875000000001
225,75,16.875,184,10,1.84,56,5,0.28,182,50,9.1,186.83175
192,75,14.4,117,10,1.17,118,5,0.59,342,50,17.1,221.17900000000006
54,75,4.05,113,10,1.13,40,5,0.2,118,50,5.9,75.01200000000001
127,75,9.525,110,10,1.1,55,5,0.275,112,50,5.6,109.72500000000001
246,75,18.45,77,10,0.77,145,5,0.725,375,50,18.75,257.32175
276,75,20.7,261,10,2.61,69,5,0.345,362,50,18.1,277.67075
134,75,10.05,269,10,2.69,117,5,0.585,218,50,10.9,161.09625000000003
150,75,11.25,105,10,1.05,37,5,0.185,209,50,10.45,152.51775000000004
306,75,22.95,170,10,1.7,142,5,0.71,298,50,14.9,267.729
97,75,7.275,216,10,2.16,138,5,0.69,328,50,16.4,176.39125
233,75,17.475,196,10,1.96,35,5,0.175,220,50,11.0,203.55650000000003
277,75,20.775,273,10,2.73,105,5,0.525,130,50,6.5,203.0245
296,75,22.2,241,10,2.41,77,5,0.385,120,50,6.0,206.11675000000002
228,75,17.1,337,10,3.37,126,5,0.63,62,50,3.1,160.93000000000004
328,75,24.6,195,10,1.95,25,5,0.125,320,50,16.0,283.78875
312,75,23.4,69,10,0.69,62,5,0.31,220,50,11.0,235.41
277,75,20.775,179,10,1.79,52,5,0.26,184,50,9.2,212.96625
233,75,17.475,193,10,1.93,60,5,0.3,324,50,16.2,238.76825000000002
256,75,19.2,200,10,2.0,30,5,0.15,116,50,5.8,180.5475
235,75,17.625,205,10,2.05,48,5,0.24,240,50,12.0,212.23475000000002
113,75,8.475,262,10,2.62,68,5,0.34,241,50,12.05,156.17525
66,75,4.95,132,10,1.32,50,5,0.25,187,50,9.35,105.53550000000001
301,75,22.575,166,10,1.66,75,5,0.375,143,50,7.15,211.204
139,75,10.425,127,10,1.27,58,5,0.29,369,50,18.45,202.39275
134,75,10.05,185,10,1.85,117,5,0.585,317,50,15.85,188.42775
344,75,25.8,318,10,3.18,134,5,0.67,330,50,16.5,306.89750000000004
322,75,24.15,274,10,2.74,35,5,0.175,246,50,12.3,261.77725000000004
309,75,23.175,195,10,1.95,102,5,0.51,399,50,19.95,303.14025000000004
89,75,6.675,215,10,2.15,133,5,0.665,358,50,17.9,182.1435
281,75,21.075,334,10,3.34,78,5,0.39,278,50,13.9,257.38825
98,75,7.35,64,10,0.64,30,5,0.15,74,50,3.7,78.736
169,75,12.675,91,10,0.91,116,5,0.58,271,50,13.55,184.30475000000004
207,75,15.525,340,10,3.4,34,5,0.17,299,50,14.95,226.39925000000002
142,75,10.65,250,10,2.5,70,5,0.35,121,50,6.05,130.00750000000002
287,75,21.525,157,10,1.57,25,5,0.125,394,50,19.7,285.418
328,75,24.6,50,10,0.5,83,5,0.415,122,50,6.1,210.23975000000002
245,75,18.375,145,10,1.45,34,5,0.17,205,50,10.25,201.12925
147,75,11.025,281,10,2.81,82,5,0.41,98,50,4.9,127.31425000000003
189,75,14.175,135,10,1.35,73,5,0.365,386,50,19.3,234.0135
288,75,21.6,254,10,2.54,89,5,0.445,370,50,18.5,286.51525000000004
126,75,9.45,280,10,2.8,39,5,0.195,322,50,16.1,189.82425000000003
321,75,24.075,349,10,3.49,141,5,0.705,219,50,10.95,260.813
226,75,16.95,156,10,1.56,44,5,0.22,95,50,4.75,156.142
53,75,3.975,335,10,3.35,87,5,0.435,160,50,8.0,104.804
262,75,19.65,240,10,2.4,101,5,0.505,62,50,3.1,170.60575
298,75,22.35,169,10,1.69,141,5,0.705,396,50,19.8,296.22425000000004
245,75,18.375,112,10,1.12,25,5,0.125,364,50,18.2,251.50300000000001
199,75,14.925,146,10,1.46,95,5,0.475,205,50,10.25,180.28150000000002
78,75,5.85,61,10,0.61,101,5,0.505,169,50,8.45,102.50975
146,75,10.95,289,10,2.89,62,5,0.31,298,50,14.9,193.1825
91,75,6.825,216,10,2.16,68,5,0.34,399,50,19.95,194.67875
194,75,14.55,192,10,1.92,139,5,0.695,90,50,4.5,144.07225
180,75,13.5,177,10,1.77,126,5,0.63,60,50,3.0,125.685
134,75,10.05,70,10,0.7,102,5,0.51,117,50,5.85,113.78150000000001
140,75,10.5,101,10,1.01,126,5,0.63,360,50,18.0,200.431
138,75,10.35,329,10,3.29,135,5,0.675,147,50,7.35,144.07225
130,75,9.75,257,10,2.57,24,5,0.12,232,50,11.6,159.866
248,75,18.6,113,10,1.13,59,5,0.295,167,50,8.35,188.69375000000002
272,75,20.4,77,10,0.77,123,5,0.615,381,50,19.05,271.55274999999995
217,75,16.275,339,10,3.39,99,5,0.495,132,50,6.6,177.954
202,75,15.15,305,10,3.05,37,5,0.185,201,50,10.05,189.09275
67,75,5.025,177,10,1.77,96,5,0.48,348,50,17.4,164.08874999999998
123,75,9.225,96,10,0.96,142,5,0.71,183,50,9.15,133.29925000000003
139,75,10.425,331,10,3.31,39,5,0.195,132,50,6.6,136.52450000000002
272,75,20.4,218,10,2.18,114,5,0.57,313,50,15.65,258.02
230,75,17.25,199,10,1.99,86,5,0.43,315,50,15.75,235.54300000000003
244,75,18.3,259,10,2.59,93,5,0.465,219,50,10.95,214.82825
325,75,24.375,290,10,2.9,51,5,0.255,64,50,3.2,204.3545
335,75,25.125,255,10,2.55,29,5,0.145,284,50,14.2,279.433
313,75,23.475,168,10,1.68,121,5,0.605,367,50,18.35,293.3315
139,75,10.425,216,10,2.16,93,5,0.465,332,50,16.6,197.1725
109,75,8.175,95,10,0.95,131,5,0.655,384,50,19.2,192.71699999999998
281,75,21.075,264,10,2.64,77,5,0.385,109,50,5.45,196.50750000000002
186,75,13.95,344,10,3.44,136,5,0.68,164,50,8.2,174.6955
186,75,13.95,60,10,0.6,70,5,0.35,224,50,11.2,173.565
86,75,6.45,88,10,0.88,61,5,0.305,84,50,4.2,78.70275000000001
179,75,13.425,279,10,2.79,80,5,0.4,85,50,4.25,138.75225
124,75,9.3,85,10,0.85,81,5,0.405,358,50,17.9,189.22575
198,75,14.85,238,10,2.38,26,5,0.13,351,50,17.55,232.1515
312,75,23.4,61,10,0.61,110,5,0.55,360,50,18.0,283.02400000000006
119,75,8.925,210,10,2.1,89,5,0.445,211,50,10.55,146.43300000000002
275,75,20.625,206,10,2.06,133,5,0.665,179,50,8.95,214.795
115,75,8.625,85,10,0.85,20,5,0.1,202,50,10.1,130.83874999999998
81,75,6.075,220,10,2.2,50,5,0.25,384,50,19.2,184.37125000000003
76,75,5.7,312,10,3.12,87,5,0.435,361,50,18.05,181.57825
316,75,23.7,208,10,2.08,38,5,0.19,143,50,7.15,220.24800000000005
291,75,21.825,237,10,2.37,79,5,0.395,207,50,10.35,232.351
224,75,16.8,305,10,3.05,109,5,0.545,94,50,4.7,166.88175
151,75,11.325,139,10,1.39,23,5,0.115,119,50,5.95,124.88700000000001
119,75,8.925,109,10,1.09,67,5,0.335,108,50,5.4,104.73750000000001
160,75,12.0,192,10,1.92,124,5,0.62,65,50,3.25,118.3035
89,75,6.675,157,10,1.57,126,5,0.63,376,50,18.8,184.03875000000002
223,75,16.725,92,10,0.92,96,5,0.48,347,50,17.35,235.90875000000008
224,75,16.8,245,10,2.45,109,5,0.545,338,50,16.9,244.02175000000003
262,75,19.65,293,10,2.93,119,5,0.595,303,50,15.15,254.86124999999998
72,75,5.4,327,10,3.27,119,5,0.595,361,50,18.05,181.64475000000002
166,75,12.45,237,10,2.37,79,5,0.395,228,50,11.4,176.98975000000002
306,75,22.95,216,10,2.16,47,5,0.235,256,50,12.8,253.66424999999998
292,75,21.9,240,10,2.4,133,5,0.665,249,50,12.45,248.80974999999995
55,75,4.125,57,10,0.57,98,5,0.49,105,50,5.25,69.39275
50,75,3.75,146,10,1.46,34,5,0.17,301,50,15.05,135.8595
312,75,23.4,260,10,2.6,147,5,0.735,174,50,8.7,235.64275000000004
347,75,26.025,130,10,1.3,148,5,0.74,74,50,3.7,211.23725
178,75,13.35,124,10,1.24,56,5,0.28,78,50,3.9,124.82050000000001
260,75,19.5,109,10,1.09,130,5,0.65,91,50,4.55,171.5035
142,75,10.65,226,10,2.26,56,5,0.28,159,50,7.95,140.58100000000002
130,75,9.75,63,10,0.63,53,5,0.265,315,50,15.75,175.52675000000002
97,75,7.275,312,10,3.12,116,5,0.58,239,50,11.95,152.45125
145,75,10.875,268,10,2.68,71,5,0.355,194,50,9.7,157.00650000000002
233,75,17.475,175,10,1.75,54,5,0.27,200,50,10.0,196.14175000000003
69,75,5.175,253,10,2.53,102,5,0.51,366,50,18.3,176.32475000000002
175,75,13.125,192,10,1.92,109,5,0.545,264,50,13.2,191.4535
282,75,21.15,302,10,3.02,25,5,0.125,61,50,3.05,181.84425
66,75,4.95,287,10,2.87,40,5,0.2,125,50,6.25,94.8955
144,75,10.8,303,10,3.03,35,5,0.175,303,50,15.15,193.88075
149,75,11.175,210,10,2.1,148,5,0.74,180,50,9.0,153.04975000000002
139,75,10.425,173,10,1.73,55,5,0.275,58,50,2.9,101.94450000000002
134,75,10.05,336,10,3.36,21,5,0.105,170,50,8.5,146.39975
250,75,18.75,108,10,1.08,140,5,0.7,208,50,10.4,205.6845
198,75,14.85,63,10,0.63,45,5,0.225,137,50,6.85,149.99075000000002
171,75,12.825,155,10,1.55,90,5,0.45,192,50,9.6,162.42624999999998
151,75,11.325,159,10,1.59,36,5,0.18,138,50,6.9,132.96675
274,75,20.55,120,10,1.2,30,5,0.15,115,50,5.75,183.8725
58,75,4.35,69,10,0.69,101,5,0.505,125,50,6.25,78.43674999999999
177,75,13.275,75,10,0.75,61,5,0.305,54,50,2.7,113.24950000000001
269,75,20.175,280,10,2.8,110,5,0.55,66,50,3.3,178.38625000000002
165,75,12.375,151,10,1.51,30,5,0.15,165,50,8.25,148.19525000000002
181,75,13.575,138,10,1.38,126,5,0.63,193,50,9.65,167.81275
58,75,4.35,217,10,2.17,137,5,0.685,80,50,4.0,74.51325
286,75,21.45,84,10,0.84,115,5,0.575,76,50,3.8,177.32225
199,75,14.925,283,10,2.83,64,5,0.32,301,50,15.05,220.28125
338,75,25.35,95,10,0.95,79,5,0.395,110,50,5.5,214.09675000000001
137,75,10.275,110,10,1.1,55,5,0.275,343,50,17.15,191.51999999999998
331,75,24.825,123,10,1.23,81,5,0.405,343,50,17.15,290.0065
193,75,14.475,296,10,2.96,103,5,0.515,229,50,11.45,195.51
92,75,6.9,102,10,1.02,139,5,0.695,84,50,4.2,85.21975000000002
116,75,8.7,238,10,2.38,46,5,0.23,210,50,10.5,145.0365
293,75,21.975,331,10,3.31,49,5,0.245,231,50,11.55,246.582
273,75,20.475,207,10,2.07,80,5,0.4,290,50,14.5,249.00925
132,75,9.9,120,10,1.2,110,5,0.55,113,50,5.65,115.04500000000002
132,75,9.9,290,10,2.9,37,5,0.185,194,50,9.7,150.85525
97,75,7.275,128,10,1.28,29,5,0.145,243,50,12.15,138.6525
142,75,10.65,164,10,1.64,64,5,0.32,199,50,9.95,150.02400000000003
237,75,17.775,218,10,2.18,94,5,0.47,140,50,7.0,182.37625
124,75,9.3,248,10,2.48,147,5,0.735,176,50,8.8,141.74475
205,75,15.375,174,10,1.74,23,5,0.115,371,50,18.55,237.937
251,75,18.825,100,10,1.0,108,5,0.54,222,50,11.1,209.24224999999998
157,75,11.775,274,10,2.74,135,5,0.675,242,50,12.1,181.4785
93,75,6.975,58,10,0.58,79,5,0.395,273,50,13.65,143.64000000000001
178,75,13.35,253,10,2.53,29,5,0.145,318,50,15.9,212.30124999999998
265,75,19.875,140,10,1.4,116,5,0.58,214,50,10.7,216.49074999999996
263,75,19.725,110,10,1.1,123,5,0.615,326,50,16.3,250.97100000000003
93,75,6.975,291,10,2.91,39,5,0.195,292,50,14.6,164.122
137,75,10.275,236,10,2.36,31,5,0.155,178,50,8.9,144.2385
291,75,21.825,107,10,1.07,50,5,0.25,327,50,16.35,262.64175000000006
307,75,23.025,348,10,3.48,31,5,0.155,61,50,3.05,197.57150000000001
209,75,15.675,98,10,0.98,37,5,0.185,270,50,13.5,201.761
290,75,21.75,341,10,3.41,85,5,0.425,391,50,19.55,300.14775000000003
226,75,16.95,66,10,0.66,139,5,0.695,328,50,16.4,230.78825
79,75,5.925,316,10,3.16,66,5,0.33,235,50,11.75,140.74725
66,75,4.95,183,10,1.83,111,5,0.555,197,50,9.85,114.28025
212,75,15.9,100,10,1.0,112,5,0.56,322,50,16.1,223.17400000000004
221,75,16.575,303,10,3.03,103,5,0.515,120,50,6.0,173.698
293,75,21.975,254,10,2.54,106,5,0.53,77,50,3.85,192.15175000000002
62,75,4.65,207,10,2.07,92,5,0.46,366,50,18.3,169.442
297,75,22.275,221,10,2.21,119,5,0.595,210,50,10.5,236.607
337,75,25.275,297,10,2.97,25,5,0.125,76,50,3.8,213.93049999999997
183,75,13.725,263,10,2.63,96,5,0.48,243,50,12.15,192.75025
269,75,20.175,334,10,3.34,74,5,0.37,152,50,7.6,209.37525
148,75,11.1,326,10,3.26,113,5,0.565,279,50,13.95,192.01875
80,75,6.0,119,10,1.19,126,5,0.63,334,50,16.7,163.058
277,75,20.775,291,10,2.91,112,5,0.56,170,50,8.5,217.75424999999998
115,75,8.625,344,10,3.44,49,5,0.245,245,50,12.25,163.324
76,75,5.7,214,10,2.14,108,5,0.54,229,50,11.45,131.8695
218,75,16.35,171,10,1.71,120,5,0.6,66,50,3.3,146.03400000000005
133,75,9.975,309,10,3.09,55,5,0.275,69,50,3.45,111.6535
149,75,11.175,166,10,1.66,110,5,0.55,357,50,17.85,207.71275000000003
220,75,16.5,249,10,2.49,25,5,0.125,87,50,4.35,156.04225000000002
338,75,25.35,138,10,1.38,47,5,0.235,74,50,3.7,203.92225
271,75,20.325,120,10,1.2,60,5,0.3,187,50,9.35,207.31375
333,75,24.975,124,10,1.24,64,5,0.32,70,50,3.5,199.73275
130,75,9.75,155,10,1.55,100,5,0.5,173,50,8.65,135.99250000000004
121,75,9.075,319,10,3.19,108,5,0.54,103,50,5.15,119.40074999999999
262,75,19.65,65,10,0.65,130,5,0.65,192,50,9.6,203.1575
322,75,24.15,243,10,2.43,76,5,0.38,105,50,5.25,214.19649999999996
326,75,24.45,310,10,3.1,59,5,0.295,288,50,14.4,280.92925
199,75,14.925,76,10,0.76,30,5,0.15,359,50,17.95,224.67024999999998
226,75,16.95,115,10,1.15,21,5,0.105,97,50,4.85,153.31575
186,75,13.95,178,10,1.78,35,5,0.175,118,50,5.9,145.00325
65,75,4.875,129,10,1.29,25,5,0.125,288,50,14.4,137.5885
106,75,7.95,234,10,2.34,123,5,0.615,298,50,14.9,171.60325
179,75,13.425,290,10,2.9,61,5,0.305,326,50,16.3,218.9845
299,75,22.425,241,10,2.41,116,5,0.58,226,50,11.3,244.15475000000004
156,75,11.7,87,10,0.87,104,5,0.52,181,50,9.05,147.23100000000002
264,75,19.8,170,10,1.7,144,5,0.72,274,50,13.7,238.86800000000002
299,75,22.425,84,10,0.84,91,5,0.455,141,50,7.05,204.62050000000002
291,75,21.825,87,10,0.87,109,5,0.545,293,50,14.65,251.9685
149,75,11.175,321,10,3.21,37,5,0.185,269,50,13.45,186.33300000000003
252,75,18.9,192,10,1.92,36,5,0.18,145,50,7.25,187.8625
204,75,15.3,147,10,1.47,87,5,0.435,334,50,16.7,225.46825
185,75,13.875,245,10,2.45,92,5,0.46,81,50,4.05,138.55275
314,75,23.55,259,10,2.59,124,5,0.62,141,50,7.05,224.83650000000003
296,75,22.2,78,10,0.78,148,5,0.74,146,50,7.3,206.28300000000002
161,75,12.075,342,10,3.42,55,5,0.275,249,50,12.45,187.663
139,75,10.425,341,10,3.41,104,5,0.52,278,50,13.9,187.89575000000002
74,75,5.55,250,10,2.5,130,5,0.65,271,50,13.55,147.9625
116,75,8.7,147,10,1.47,88,5,0.44,84,50,4.2,98.48649999999999
219,75,16.425,301,10,3.01,83,5,0.415,342,50,17.1,245.71750000000003
341,75,25.575,321,10,3.21,25,5,0.125,237,50,11.85,271.054
276,75,20.7,253,10,2.53,129,5,0.645,92,50,4.6,189.35875000000001
328,75,24.6,286,10,2.86,77,5,0.385,323,50,16.15,292.56675000000007
324,75,24.3,192,10,1.92,54,5,0.27,80,50,4.0,202.7585
266,75,19.95,293,10,2.93,47,5,0.235,240,50,12.0,233.51475
325,75,24.375,95,10,0.95,67,5,0.335,323,50,16.15,278.03650000000005
76,75,5.7,185,10,1.85,70,5,0.35,340,50,17.0,165.585
222,75,16.65,96,10,0.96,119,5,0.595,133,50,6.65,165.28574999999998
266,75,19.95,244,10,2.44,73,5,0.365,352,50,17.6,268.36075000000005
193,75,14.475,75,10,0.75,53,5,0.265,136,50,6.8,148.2285
188,75,14.1,303,10,3.03,74,5,0.37,176,50,8.8,174.895
299,75,22.425,311,10,3.11,49,5,0.245,250,50,12.5,254.562
335,75,25.125,114,10,1.14,123,5,0.615,208,50,10.4,247.91200000000003
113,75,8.475,192,10,1.92,132,5,0.66,70,50,3.5,96.79075
51,75,3.825,129,10,1.29,44,5,0.22,174,50,8.7,93.33275
99,75,7.425,218,10,2.18,129,5,0.645,128,50,6.4,110.7225
237,75,17.775,63,10,0.63,43,5,0.215,145,50,7.25,172.03549999999998
163,75,12.225,243,10,2.43,51,5,0.255,200,50,10.0,165.6515
65,75,4.875,321,10,3.21,106,5,0.53,153,50,7.65,108.16225000000001
152,75,11.4,54,10,0.54,59,5,0.295,197,50,9.85,146.86525
315,75,23.625,153,10,1.53,71,5,0.355,80,50,4.0,196.24150000000003
56,75,4.2,183,10,1.83,91,5,0.455,242,50,12.1,123.59025000000001
171,75,12.825,122,10,1.22,93,5,0.465,393,50,19.65,227.164
306,75,22.95,196,10,1.96,53,5,0.265,372,50,18.6,291.10375000000005
296,75,22.2,245,10,2.45,49,5,0.245,172,50,8.6,222.74175
163,75,12.225,338,10,3.38,126,5,0.63,238,50,11.9,187.09775
133,75,9.975,337,10,3.37,103,5,0.515,316,50,15.8,197.239
112,75,8.4,298,10,2.98,133,5,0.665,257,50,12.85,165.55175000000003
204,75,15.3,211,10,2.11,78,5,0.39,148,50,7.4,167.58000000000004
323,75,24.225,303,10,3.03,120,5,0.6,56,50,2.8,203.85575000000003
191,75,14.325,62,10,0.62,52,5,0.26,124,50,6.2,142.34324999999998
269,75,20.175,171,10,1.71,41,5,0.205,319,50,15.95,252.966
149,75,11.175,64,10,0.64,138,5,0.69,375,50,18.75,207.84575000000004
276,75,20.7,149,10,1.49,124,5,0.62,157,50,7.85,203.88899999999998
333,75,24.975,82,10,0.82,142,5,0.71,66,50,3.3,198.20325000000003
156,75,11.7,165,10,1.65,56,5,0.28,93,50,4.65,121.56200000000001
127,75,9.525,319,10,3.19,30,5,0.15,169,50,8.45,141.74474999999998
65,75,4.875,67,10,0.67,97,5,0.485,166,50,8.3,95.29450000000001
162,75,12.15,258,10,2.58,36,5,0.18,82,50,4.1,126.4165
92,75,6.9,190,10,1.9,134,5,0.67,257,50,12.85,148.428
187,75,14.025,76,10,0.76,20,5,0.1,116,50,5.8,137.55525
167,75,12.525,128,10,1.28,66,5,0.33,271,50,13.55,184.10525
255,75,19.125,282,10,2.82,149,5,0.745,245,50,12.25,232.351
63,75,4.725,331,10,3.31,70,5,0.35,219,50,10.95,128.57775
161,75,12.075,142,10,1.42,125,5,0.625,111,50,5.55,130.8055
152,75,11.4,99,10,0.99,23,5,0.115,377,50,18.85,208.51075000000003
266,75,19.95,326,10,3.26,70,5,0.35,253,50,12.65,240.7965
82,75,6.15,114,10,1.14,52,5,0.26,398,50,19.9,182.54250000000002
98,75,7.35,211,10,2.11,123,5,0.615,363,50,18.15,187.69625
55,75,4.125,208,10,2.08,50,5,0.25,342,50,17.1,156.64075
175,75,13.125,137,10,1.37,39,5,0.195,89,50,4.45,127.281
317,75,23.775,127,10,1.27,78,5,0.39,181,50,9.05,229.32525
254,75,19.05,141,10,1.41,98,5,0.49,272,50,13.6,229.7575
292,75,21.9,132,10,1.32,99,5,0.495,115,50,5.75,195.94225
210,75,15.75,219,10,2.19,81,5,0.405,112,50,5.6,159.23425
163,75,12.225,204,10,2.04,105,5,0.525,95,50,4.75,129.941
247,75,18.525,151,10,1.51,108,5,0.54,142,50,7.1,184.03875
349,75,26.175,124,10,1.24,147,5,0.735,342,50,17.1,300.9125
206,75,15.45,341,10,3.41,91,5,0.455,242,50,12.1,208.90975
278,75,20.85,289,10,2.89,98,5,0.49,318,50,15.9,266.8645
158,75,11.85,180,10,1.8,64,5,0.32,262,50,13.1,180.0155
64,75,4.8,306,10,3.06,37,5,0.185,195,50,9.75,118.33675000000002
138,75,10.35,107,10,1.07,93,5,0.465,280,50,14.0,172.13524999999998
